date,hour,time_block,purchase_bid_(mw),sell_bid_(mw),mcv_(mw),final_scheduled_volume_(mw),mcp_(rs/mwh)_*,imbalance,price_change,execution_ratio,start_time,timestamp
24-05-2026,9,08:15 - 08:30,11932.0,28671.5,7482.8,7482.8,1805.49,-16739.5,-0.11999999999989086,0.6271203486423064,08:15,2026-05-24 08:15:00
24-05-2026,9,08:30 - 08:45,11816.1,32457.5,7910.57,7910.57,1750.6,-20641.4,-54.8900000000001,0.6694738534711114,08:30,2026-05-24 08:30:00
24-05-2026,9,08:45 - 09:00,12280.9,35143.8,8446.51,8446.51,1750.61,-22862.9,0.009999999999990905,0.6877761401851656,08:45,2026-05-24 08:45:00
24-05-2026,10,09:00 - 09:15,12764.6,37804.3,8617.2,8617.2,1900.16,-25039.700000000004,149.55000000000018,0.6750857841217116,09:00,2026-05-24 09:00:00
24-05-2026,10,09:15 - 09:30,12795.2,39406.0,8703.1,8703.1,1900.12,-26610.8,-0.040000000000190994,0.6801847567837939,09:15,2026-05-24 09:15:00
24-05-2026,10,09:30 - 09:45,13063.6,41149.0,8882.4,8882.4,1900.26,-28085.4,0.14000000000010004,0.679935086806087,09:30,2026-05-24 09:30:00
24-05-2026,10,09:45 - 10:00,13479.4,42157.0,9608.6,9608.6,1850.75,-28677.6,-49.50999999999999,0.7128358829027999,09:45,2026-05-24 09:45:00
24-05-2026,11,10:00 - 10:15,13029.6,44732.6,10074.8,10074.8,1566.14,-31703.0,-284.6099999999999,0.773224043715847,10:00,2026-05-24 10:00:00
24-05-2026,11,10:15 - 10:30,13337.1,45098.3,10382.7,10382.7,1566.05,-31761.200000000004,-0.09000000000014552,0.7784825786715254,10:15,2026-05-24 10:15:00
24-05-2026,11,10:30 - 10:45,13464.2,45254.7,10510.0,10510.0,1563.06,-31790.499999999996,-2.990000000000009,0.7805885236404687,10:30,2026-05-24 10:30:00
24-05-2026,11,10:45 - 11:00,13461.2,45361.1,10507.1,10507.1,1537.72,-31899.899999999998,-25.339999999999918,0.7805470537544944,10:45,2026-05-24 10:45:00
24-05-2026,12,11:00 - 11:15,13926.6,45393.7,10867.3,10867.3,1537.71,-31467.1,-0.009999999999990905,0.7803268565191791,11:00,2026-05-24 11:00:00
24-05-2026,12,11:15 - 11:30,14006.6,44889.4,10947.6,10947.6,1537.78,-30882.800000000003,0.06999999999993634,0.781602958605229,11:15,2026-05-24 11:15:00
24-05-2026,12,11:30 - 11:45,14226.2,44916.5,11117.3,11117.3,1537.93,-30690.3,0.15000000000009095,0.7814665898131615,11:30,2026-05-24 11:30:00
24-05-2026,12,11:45 - 12:00,13851.2,44486.3,10742.3,10742.3,1537.04,-30635.100000000002,-0.8900000000001,0.7755501328404758,11:45,2026-05-24 11:45:00
24-05-2026,13,12:00 - 12:15,13274.6,44404.6,10862.2,10862.2,1537.03,-31130.0,-0.009999999999990905,0.8182694770463894,12:00,2026-05-24 12:00:00
24-05-2026,13,12:15 - 12:30,13326.4,44227.4,10913.8,10913.8,1537.14,-30901.0,0.11000000000012733,0.8189608596470164,12:15,2026-05-24 12:15:00
24-05-2026,13,12:30 - 12:45,13338.1,43962.6,10904.6,10904.6,1537.09,-30624.5,-0.0500000000001819,0.817552724900848,12:30,2026-05-24 12:30:00
24-05-2026,13,12:45 - 13:00,13412.2,43847.2,10979.1,10979.1,1537.15,-30434.999999999996,0.060000000000172804,0.8185905369737999,12:45,2026-05-24 12:45:00
24-05-2026,14,13:00 - 13:15,13057.6,44034.1,10699.58,10699.58,1380.24,-30976.5,-156.91000000000008,0.8194139811297635,13:00,2026-05-24 13:00:00
24-05-2026,14,13:15 - 13:30,13133.1,43879.6,10773.68,10773.68,1384.64,-30746.5,4.400000000000091,0.820345539133944,13:15,2026-05-24 13:15:00
24-05-2026,14,13:30 - 13:45,13657.2,43288.4,11018.8,11018.8,1537.34,-29631.2,152.69999999999982,0.8068125237969714,13:30,2026-05-24 13:30:00
24-05-2026,14,13:45 - 14:00,13934.9,42905.7,11296.0,11296.0,1563.69,-28970.799999999996,26.350000000000136,0.8106265563441432,13:45,2026-05-24 13:45:00
24-05-2026,15,14:00 - 14:15,14966.8,39693.9,11256.4,11256.4,1694.36,-24727.100000000002,130.66999999999985,0.7520912954004865,14:00,2026-05-24 14:00:00
24-05-2026,15,14:15 - 14:30,15890.2,37184.8,11685.35,11685.35,2000.26,-21294.600000000002,305.9000000000001,0.7353809266088532,14:15,2026-05-24 14:15:00
24-05-2026,15,14:30 - 14:45,17683.4,33093.9,11254.9,11254.9,2483.48,-15410.5,483.22,0.6364669690217943,14:30,2026-05-24 14:30:00
24-05-2026,15,14:45 - 15:00,17889.1,30790.6,10796.42,10796.42,2501.59,-12901.5,18.110000000000127,0.6035194615715715,14:45,2026-05-24 14:45:00
24-05-2026,16,15:00 - 15:15,18311.0,26138.5,10202.7,10202.7,2660.75,-7827.5,159.15999999999985,0.5571896674130304,15:00,2026-05-24 15:00:00
24-05-2026,16,15:15 - 15:30,18629.0,23793.9,9407.57,9407.57,2800.63,-5164.9000000000015,139.8800000000001,0.5049959740190026,15:15,2026-05-24 15:15:00
24-05-2026,16,15:30 - 15:45,18624.1,20531.9,8616.0,8616.0,3094.05,-1907.800000000003,293.4200000000001,0.4626263819459733,15:30,2026-05-24 15:30:00
24-05-2026,16,15:45 - 16:00,18427.3,19432.7,8274.6,8274.6,3291.24,-1005.4000000000015,197.1899999999996,0.4490402826241501,15:45,2026-05-24 15:45:00
24-05-2026,17,16:00 - 16:15,16791.3,17697.6,7538.81,7538.81,3200.82,-906.2999999999993,-90.41999999999962,0.4489711934156379,16:00,2026-05-24 16:00:00
24-05-2026,17,16:15 - 16:30,16511.9,16479.5,7336.2,7336.2,3291.87,32.400000000001455,91.04999999999973,0.4442977488962505,16:15,2026-05-24 16:15:00
24-05-2026,17,16:30 - 16:45,15449.0,14901.2,6707.1,6707.1,3412.67,547.7999999999993,120.80000000000018,0.4341446048287915,16:30,2026-05-24 16:30:00
24-05-2026,17,16:45 - 17:00,14765.8,13838.5,6509.8,6509.8,3440.42,927.2999999999993,27.75,0.4408701187880102,16:45,2026-05-24 16:45:00
24-05-2026,18,17:00 - 17:15,13157.8,12864.6,5848.2,5848.2,3439.42,293.1999999999989,-1.0,0.44446640015808114,17:00,2026-05-24 17:00:00
24-05-2026,18,17:15 - 17:30,12939.4,11747.6,5726.0,5726.0,3597.22,1191.7999999999993,157.79999999999973,0.44252438289256074,17:15,2026-05-24 17:15:00
24-05-2026,18,17:30 - 17:45,12468.2,8914.1,5465.1,5465.1,3670.54,3554.1000000000004,73.32000000000016,0.4383230939510114,17:30,2026-05-24 17:30:00
24-05-2026,18,17:45 - 18:00,12140.7,8017.0,5085.3,5085.3,3879.18,4123.700000000001,208.63999999999987,0.4188638216906768,17:45,2026-05-24 17:45:00
24-05-2026,19,18:00 - 18:15,11554.0,7983.9,4827.89,4827.89,4100.28,3570.1000000000004,221.0999999999999,0.4178544227107496,18:00,2026-05-24 18:00:00
24-05-2026,19,18:15 - 18:30,11671.8,7467.6,4705.7,4705.7,4210.77,4204.199999999999,110.49000000000069,0.40316832022481536,18:15,2026-05-24 18:15:00
24-05-2026,19,18:30 - 18:45,12552.8,5967.0,4876.3,4876.3,4577.8,6585.799999999999,367.02999999999975,0.3884631317315659,18:30,2026-05-24 18:30:00
24-05-2026,19,18:45 - 19:00,13585.5,5904.5,5222.8,5222.8,5000.4,7681.0,422.59999999999945,0.38443929189209086,18:45,2026-05-24 18:45:00
24-05-2026,20,19:00 - 19:15,14380.2,4864.0,4240.6,4240.6,6012.27,9516.2,1011.8700000000008,0.29489158704329566,19:00,2026-05-24 19:00:00
24-05-2026,20,19:15 - 19:30,16126.9,4150.2,4150.2,4150.2,10000.0,11976.7,3987.7299999999996,0.2573464211968822,19:15,2026-05-24 19:15:00
24-05-2026,20,19:30 - 19:45,17239.5,3298.9,3298.9,3298.9,10000.0,13940.6,0.0,0.1913570579193132,19:30,2026-05-24 19:30:00
24-05-2026,20,19:45 - 20:00,18502.7,3014.5,3014.49,3014.49,10000.0,15488.2,0.0,0.16292162765434232,19:45,2026-05-24 19:45:00
24-05-2026,21,20:00 - 20:15,19608.7,3208.4,3208.38,3208.38,10000.0,16400.3,0.0,0.16362022979595792,20:00,2026-05-24 20:00:00
24-05-2026,21,20:15 - 20:30,21103.1,2967.1,2967.1,2967.1,10000.0,18136.0,0.0,0.1406001961797082,20:15,2026-05-24 20:15:00
24-05-2026,21,20:30 - 20:45,21890.5,2931.8,2931.8,2931.8,10000.0,18958.7,0.0,0.1339302437130262,20:30,2026-05-24 20:30:00
24-05-2026,21,20:45 - 21:00,22454.7,2908.0,2907.97,2907.97,10000.0,19546.7,0.0,0.12950384552009156,20:45,2026-05-24 20:45:00
